UP_id	tax_group
UniRef50_V1CFH1	Bacteria
UniRef50_V2YGC2	Bacteria
UniRef50_V3Z302	Eukaryota
UniRef50_V3Z8X3	Eukaryota
UniRef50_V3ZG50	Eukaryota
UniRef50_V4A2I5	Eukaryota
UniRef50_V4A3J6	Eukaryota
UniRef50_V4A6L4	Eukaryota
UniRef50_V4A717	Eukaryota
UniRef50_V4A789	Eukaryota
UniRef50_V4A9V6	Eukaryota
UniRef50_V4AFK7	Eukaryota
UniRef50_V4AT61	Eukaryota
UniRef50_V4BHB9	Eukaryota
UniRef50_V4BRZ3	Eukaryota
UniRef50_V4BS04	Eukaryota
UniRef50_V4BWR9	Eukaryota
UniRef50_V4CHJ0	Eukaryota
UniRef50_V4FI32	Bacteria
UniRef50_V4HX25	Bacteria
UniRef50_V4JAZ3	Bacteria
UniRef50_V4JM39	Bacteria
UniRef50_V4JQD0	Bacteria
UniRef50_V4PP60	Bacteria
UniRef50_V4R058	Bacteria
UniRef50_V4RUB3	Bacteria
UniRef50_V4YJ56	Bacteria
UniRef50_V5G592	Eukaryota
UniRef50_V5I839	Eukaryota
UniRef50_V5R9K0	Viruses
UniRef50_V5SBD5	Bacteria
UniRef50_V5TDX9	Bacteria
UniRef50_V5USS7	Viruses
UniRef50_V5UTA0	Viruses
UniRef50_V5WDZ7	Bacteria
UniRef50_V5YP25	Bacteria
UniRef50_V6DF27	Bacteria
UniRef50_V6DHS5	Bacteria
UniRef50_V6DI47	Bacteria
UniRef50_V6DUL6	Archaea
UniRef50_V6F1A8	Bacteria
UniRef50_V6F3J2	Bacteria
UniRef50_V6F4Z6	Bacteria
UniRef50_V6K689	Bacteria
UniRef50_V6SPS8	Bacteria
UniRef50_V6SZF3	Bacteria
UniRef50_V6TDK1	Eukaryota
UniRef50_V6TR85	Eukaryota
UniRef50_V7EZ31	Bacteria
UniRef50_V7FKH8	Bacteria
UniRef50_V7H3R3	Bacteria
UniRef50_V7H6D1	Bacteria
UniRef50_V7HUA6	Bacteria
UniRef50_V7HYF3	Bacteria
UniRef50_V7PYB2	Bacteria
UniRef50_V8CBY8	Bacteria
UniRef50_V8CMK4	Bacteria
UniRef50_V8GB83	Bacteria
UniRef50_V8N8P4	Eukaryota
UniRef50_V9H0G2	Eukaryota
UniRef50_V9QKM6	Viruses
UniRef50_V9TTC4	Bacteria
UniRef50_V9W1L8	Bacteria
UniRef50_V9W8G4	Bacteria
UniRef50_V9WF57	Bacteria
UniRef50_V9WH51	Bacteria
UniRef50_V9WJG7	Bacteria
UniRef50_W0AHL6	Bacteria
UniRef50_W0AIR7	Bacteria
UniRef50_W0BQE7	Bacteria
UniRef50_W0DRA1	Bacteria
UniRef50_W0DY98	Bacteria
UniRef50_W0J2A1	Bacteria
UniRef50_W0J3U7	Bacteria
UniRef50_W0JBB7	Bacteria
UniRef50_W0JCT2	Bacteria
UniRef50_W0JDA4	Bacteria
UniRef50_W0JYA6	Archaea
UniRef50_W0LL22	Viruses
UniRef50_W0LZK6	Bacteria
UniRef50_W0PDX7	Bacteria
UniRef50_W0QA59	Bacteria
UniRef50_W0REH4	Bacteria
UniRef50_W0SHL5	Bacteria
UniRef50_W0SJ89	Bacteria
UniRef50_W0SJD8	Bacteria
UniRef50_W1ER47	Bacteria
UniRef50_W1I489	Bacteria
UniRef50_W1I973	Bacteria
UniRef50_W1PX39	Eukaryota
UniRef50_W1Q2Q6	Bacteria
UniRef50_W1TR90	Bacteria
UniRef50_W1UFL2	Bacteria
UniRef50_W1UNZ6	Bacteria
UniRef50_W1W2G2	Bacteria
UniRef50_W1W3A6	Bacteria
UniRef50_W1W3T5	Bacteria
UniRef50_W1W888	Bacteria
UniRef50_W1WGJ9	unclassified
UniRef50_W1WNG6	unclassified
UniRef50_W2CEL2	Bacteria
UniRef50_W2EYW3	Bacteria
UniRef50_W2SN34	Eukaryota
UniRef50_W3RI25	Bacteria
UniRef50_W3RSL9	Bacteria
UniRef50_W3VST9	Eukaryota
UniRef50_W4A2E7	Bacteria
UniRef50_W4HDP3	Bacteria
UniRef50_W4HF27	Bacteria
UniRef50_W4HM57	Bacteria
UniRef50_W4L430	Bacteria
UniRef50_W4L5Y0	Bacteria
UniRef50_W4L6M8	Bacteria
UniRef50_W4L6T0	Bacteria
UniRef50_W4LI72	Bacteria
UniRef50_W4LLH5	Bacteria
UniRef50_W4LVF9	Bacteria
UniRef50_W4P643	Bacteria
UniRef50_W4P832	Bacteria
UniRef50_W4PF55	Bacteria
UniRef50_W4RUM0	Bacteria
UniRef50_W4RW26	Bacteria
UniRef50_W4SDI5	Bacteria
UniRef50_W4SGF9	Bacteria
UniRef50_W4TDR6	Bacteria
UniRef50_W4TEJ3	Bacteria
UniRef50_W4TEK8	Bacteria
UniRef50_W4TEP7	Bacteria
UniRef50_W4TF03	Bacteria
UniRef50_W4TFI5	Bacteria
UniRef50_W4TFJ7	Bacteria
UniRef50_W4TFT4	Bacteria
UniRef50_W4TFY6	Bacteria
UniRef50_W4TGI7	Bacteria
UniRef50_W4TGT1	Bacteria
