UP_id	tax_group
UniRef50_A0A7G8ZP01	Bacteria
UniRef50_A0A7G9BII2	Bacteria
UniRef50_A0A7G9BJC5	Bacteria
UniRef50_A0A7G9L395	Bacteria
UniRef50_A0A7G9NSH8	Bacteria
UniRef50_A0A7G9NTA8	Bacteria
UniRef50_A0A7G9NYL1	Bacteria
UniRef50_A0A7G9NZU0	Bacteria
UniRef50_A0A7G9NZW8	Bacteria
UniRef50_A0A7G9QE25	Bacteria
UniRef50_A0A7G9R3H3	Bacteria
UniRef50_A0A7G9UZT0	Viruses
UniRef50_A0A7G9V0H5	Viruses
UniRef50_A0A7G9V0H7	Viruses
UniRef50_A0A7G9V0P8	Viruses
UniRef50_A0A7G9VS50	Viruses
UniRef50_A0A7G9WL67	Bacteria
UniRef50_A0A7G9Y4P9	Archaea
UniRef50_A0A7H0G2V0	Bacteria
UniRef50_A0A7H0GD21	Bacteria
UniRef50_A0A7H0GFC7	Bacteria
UniRef50_A0A7H0VB44	Bacteria
UniRef50_A0A7H1M7Y5	Bacteria
UniRef50_A0A7H1N6R6	Bacteria
UniRef50_A0A7H1NSN7	Bacteria
UniRef50_A0A7H1NT29	Bacteria
UniRef50_A0A7H1VP09	Bacteria
UniRef50_A0A7H4H8Q6	Bacteria
UniRef50_A0A7H4LDJ6	Eukaryota
UniRef50_A0A7H4PI80	Bacteria
UniRef50_A0A7H5ESJ8	Bacteria
UniRef50_A0A7H5EZ84	Bacteria
UniRef50_A0A7H8JMU7	Bacteria
UniRef50_A0A7H8PMF1	Bacteria
UniRef50_A0A7H8RB70	Eukaryota
UniRef50_A0A7H9BJE4	Bacteria
UniRef50_A0A7H9BRV9	Bacteria
UniRef50_A0A7H9CI30	Bacteria
UniRef50_A0A7H9MGU2	Bacteria
UniRef50_A0A7I2YQX2	Eukaryota
UniRef50_A0A7I4Y1Y0	Eukaryota
UniRef50_A0A7I4YIG5	Eukaryota
UniRef50_A0A7I6PX21	Bacteria
UniRef50_A0A7I6XPK1	Bacteria
UniRef50_A0A7I7PBP3	Bacteria
