UP_id	tax_group
UniRef50_A0A2D8EW60	Bacteria
UniRef50_A0A2D8EWN4	Bacteria
UniRef50_A0A2D8EWQ3	Bacteria
UniRef50_A0A2D8FWB1	Bacteria
UniRef50_A0A2D8GDT7	Bacteria
UniRef50_A0A2D8HSS9	Bacteria
UniRef50_A0A2D8HVU8	Bacteria
UniRef50_A0A2D8J239	Bacteria
UniRef50_A0A2D8J5D5	Bacteria
UniRef50_A0A2D8J5E1	Bacteria
UniRef50_A0A2D8J5H6	Bacteria
UniRef50_A0A2D8J5J3	Bacteria
UniRef50_A0A2D8JJN8	Bacteria
UniRef50_A0A2D8JKT1	Bacteria
UniRef50_A0A2D8K5F1	Bacteria
UniRef50_A0A2D8LFG7	Bacteria
UniRef50_A0A2D8LJW6	Bacteria
UniRef50_A0A2D8LNP2	Bacteria
UniRef50_A0A2D8LXN6	Bacteria
UniRef50_A0A2D8M1I3	Bacteria
UniRef50_A0A2D8M1P8	Bacteria
UniRef50_A0A2D8M257	Bacteria
UniRef50_A0A2D8P610	Bacteria
UniRef50_A0A2D8PE62	Bacteria
UniRef50_A0A2D8PEJ8	Bacteria
UniRef50_A0A2D8PRM9	Bacteria
UniRef50_A0A2D8PUD3	Bacteria
UniRef50_A0A2D8RC70	Bacteria
UniRef50_A0A2D8RC87	Bacteria
UniRef50_A0A2D8RL96	Bacteria
UniRef50_A0A2D8S0H2	Bacteria
UniRef50_A0A2D8S7B3	Bacteria
UniRef50_A0A2D8S810	Bacteria
UniRef50_A0A2D8SHW7	Bacteria
UniRef50_A0A2D8SUC7	Bacteria
UniRef50_A0A2D8U464	Archaea
UniRef50_A0A2D8USA2	Bacteria
UniRef50_A0A2D8V9C8	Bacteria
UniRef50_A0A2D8W535	Bacteria
UniRef50_A0A2D8W6U0	Bacteria
UniRef50_A0A2D8XAL1	Bacteria
UniRef50_A0A2D8XAX2	Bacteria
UniRef50_A0A2D8XAZ1	Bacteria
UniRef50_A0A2D8XBT3	Bacteria
UniRef50_A0A2D8XBT7	Bacteria
UniRef50_A0A2D8XC97	Bacteria
UniRef50_A0A2D8XD84	Bacteria
UniRef50_A0A2D8XDN3	Bacteria
UniRef50_A0A2D8XEE5	Bacteria
UniRef50_A0A2D8XGC2	Bacteria
UniRef50_A0A2D8XGC7	Bacteria
UniRef50_A0A2D8XGR6	Bacteria
UniRef50_A0A2D8XH67	Bacteria
UniRef50_A0A2D8XJ60	Bacteria
UniRef50_A0A2D8XJ71	Bacteria
UniRef50_A0A2D8XJY2	Bacteria
UniRef50_A0A2D8XKN4	Bacteria
UniRef50_A0A2D8XL69	Bacteria
UniRef50_A0A2D8XL86	Bacteria
UniRef50_A0A2D8XM85	Bacteria
UniRef50_A0A2D8XMF3	Bacteria
UniRef50_A0A2D8XMP3	Bacteria
UniRef50_A0A2D8XMR3	Bacteria
UniRef50_A0A2D8XMT2	Bacteria
UniRef50_A0A2D8XN68	Bacteria
UniRef50_A0A2D8YAB5	Bacteria
UniRef50_A0A2D8YJ01	Bacteria
UniRef50_A0A2D8YL04	Bacteria
UniRef50_A0A2D8YNE9	Bacteria
UniRef50_A0A2D8YPX7	Bacteria
UniRef50_A0A2D9A173	Bacteria
UniRef50_A0A2D9B6G9	Bacteria
UniRef50_A0A2D9B6K2	Bacteria
UniRef50_A0A2D9B6K3	Bacteria
UniRef50_A0A2D9C3Q9	Bacteria
UniRef50_A0A2D9C3R7	Bacteria
UniRef50_A0A2D9C414	Bacteria
UniRef50_A0A2D9C455	Bacteria
UniRef50_A0A2D9C4W2	Bacteria
UniRef50_A0A2D9C528	Bacteria
UniRef50_A0A2D9C565	Bacteria
UniRef50_A0A2D9C633	Bacteria
UniRef50_A0A2D9C6N3	Bacteria
UniRef50_A0A2D9C6T3	Bacteria
UniRef50_A0A2D9C7G7	Bacteria
UniRef50_A0A2D9C7I8	Bacteria
UniRef50_A0A2D9C8F1	Bacteria
UniRef50_A0A2D9C8K9	Bacteria
UniRef50_A0A2D9C8N1	Bacteria
UniRef50_A0A2D9C8X0	Bacteria
UniRef50_A0A2D9C946	Bacteria
UniRef50_A0A2D9C9A9	Bacteria
