UP_id	tax_group
UniRef50_A0A1D1YC11	Eukaryota
UniRef50_A0A1D1YJ29	Eukaryota
UniRef50_A0A1D1ZBB8	Eukaryota
UniRef50_A0A1D1ZQL3	Eukaryota
UniRef50_A0A1D2A7R9	Eukaryota
UniRef50_A0A1D2AFM1	Eukaryota
UniRef50_A0A1D2AIE3	Eukaryota
UniRef50_A0A1D2I9E9	Bacteria
UniRef50_A0A1D2L7R0	Bacteria
UniRef50_A0A1D2M452	Eukaryota
UniRef50_A0A1D2M5K7	Eukaryota
UniRef50_A0A1D2M847	Eukaryota
UniRef50_A0A1D2MBN5	Eukaryota
UniRef50_A0A1D2MLB4	Eukaryota
UniRef50_A0A1D2MN40	Eukaryota
UniRef50_A0A1D2MQR9	Eukaryota
UniRef50_A0A1D2MQV7	Eukaryota
UniRef50_A0A1D2MTX0	Eukaryota
UniRef50_A0A1D2MU67	Eukaryota
UniRef50_A0A1D2MYH9	Eukaryota
UniRef50_A0A1D2N1F4	Eukaryota
UniRef50_A0A1D2N330	Eukaryota
UniRef50_A0A1D2N964	Eukaryota
UniRef50_A0A1D2NLC8	Eukaryota
UniRef50_A0A1D2NLT8	Eukaryota
UniRef50_A0A1D2NMQ9	Eukaryota
UniRef50_A0A1D2P384	Bacteria
UniRef50_A0A1D2P553	Bacteria
UniRef50_A0A1D2QP29	Bacteria
UniRef50_A0A1D2QP54	Bacteria
UniRef50_A0A1D2QRI0	Bacteria
UniRef50_A0A1D2QVA7	Archaea
UniRef50_A0A1D2QWI3	Archaea
UniRef50_A0A1D2QY00	Archaea
UniRef50_A0A1D2QYB0	Archaea
UniRef50_A0A1D2R2C6	Archaea
UniRef50_A0A1D2R2H1	Archaea
UniRef50_A0A1D2R921	Archaea
UniRef50_A0A1D2RA49	Archaea
UniRef50_A0A1D2RDY0	Archaea
UniRef50_A0A1D2SH32	Bacteria
UniRef50_A0A1D2TEC4	Bacteria
UniRef50_A0A1D2TPD1	Bacteria
UniRef50_A0A1D2U073	Bacteria
UniRef50_A0A1D2U0L9	Bacteria
UniRef50_A0A1D2U0Q4	Bacteria
UniRef50_A0A1D2U133	Bacteria
UniRef50_A0A1D2U197	Bacteria
UniRef50_A0A1D2U1H3	Bacteria
UniRef50_A0A1D2U1S3	Bacteria
UniRef50_A0A1D2VIN2	Eukaryota
UniRef50_A0A1D2X556	Bacteria
UniRef50_A0A1D2X9P9	Bacteria
UniRef50_A0A1D2XA23	Bacteria
UniRef50_A0A1D2XBF7	Bacteria
UniRef50_A0A1D2XCY4	Bacteria
UniRef50_A0A1D2XDR4	Bacteria
UniRef50_A0A1D2YV81	Bacteria
UniRef50_A0A1D3CYR9	Eukaryota
UniRef50_A0A1D3D0W1	Eukaryota
UniRef50_A0A1D3D1G4	Eukaryota
UniRef50_A0A1D3DFN5	Bacteria
UniRef50_A0A1D3JLU4	Eukaryota
UniRef50_A0A1D3JMD4	Eukaryota
UniRef50_A0A1D3JXI1	Bacteria
UniRef50_A0A1D3KYZ2	Archaea
UniRef50_A0A1D3L041	Archaea
UniRef50_A0A1D3L1J3	Archaea
UniRef50_A0A1D3PAE5	Eukaryota
UniRef50_A0A1D3PC04	Eukaryota
UniRef50_A0A1D3RNV4	Bacteria
UniRef50_A0A1D3RP19	Bacteria
UniRef50_A0A1D3TPD8	Bacteria
UniRef50_A0A1D3UV55	Bacteria
UniRef50_A0A1D4I348	Bacteria
UniRef50_A0A1D4ZK47	Bacteria
UniRef50_A0A1D5P8N3	Eukaryota
UniRef50_A0A1D5PC75	Eukaryota
UniRef50_A0A1D5R3I4	Eukaryota
UniRef50_A0A1D6DJN2	Eukaryota
UniRef50_A0A1D6E288	Eukaryota
UniRef50_A0A1D6EHP2	Eukaryota
UniRef50_A0A1D6KV87	Eukaryota
UniRef50_A0A1D6LAW4	Eukaryota
UniRef50_A0A1D6P949	Eukaryota
UniRef50_A0A1D6XXQ4	Eukaryota
UniRef50_A0A1D6Y7K0	Viruses
UniRef50_A0A1D7NJI4	Bacteria
UniRef50_A0A1D7SEM0	Viruses
UniRef50_A0A1D7SFB7	Viruses
UniRef50_A0A1D7SKM4	Viruses
UniRef50_A0A1D7TKL6	Bacteria
UniRef50_A0A1D7W7X8	Bacteria
UniRef50_A0A1D7XAS2	Bacteria
UniRef50_A0A1D7XDX4	Bacteria
UniRef50_A0A1D7XHM5	Bacteria
UniRef50_A0A1D7XZD9	Bacteria
UniRef50_A0A1D7XZI1	Bacteria
UniRef50_A0A1D7XZZ0	Bacteria
UniRef50_A0A1D7Z4P6	Bacteria
UniRef50_A0A1D8A557	Bacteria
UniRef50_A0A1D8AR47	Bacteria
UniRef50_A0A1D8ARC8	Bacteria
UniRef50_A0A1D8ARE6	Bacteria
UniRef50_A0A1D8ASE7	Bacteria
UniRef50_A0A1D8ASF7	Bacteria
UniRef50_A0A1D8ASH9	Bacteria
UniRef50_A0A1D8ASN6	Bacteria
UniRef50_A0A1D8AT43	Bacteria
UniRef50_A0A1D8AUT8	Bacteria
UniRef50_A0A1D8AUU7	Bacteria
