UP_id	tax_group
UniRef50_A0A6J5KP84	Viruses
UniRef50_A0A6J5KPW2	Viruses
UniRef50_A0A6J5KPZ4	Viruses
UniRef50_A0A6J5KQJ4	Viruses
UniRef50_A0A6J5KR55	Viruses
UniRef50_A0A6J5KRA3	Viruses
UniRef50_A0A6J5KS09	Viruses
UniRef50_A0A6J5KS67	Viruses
UniRef50_A0A6J5KS99	Viruses
UniRef50_A0A6J5KSE1	Viruses
UniRef50_A0A6J5KSJ4	Viruses
UniRef50_A0A6J5KSV3	Viruses
UniRef50_A0A6J5KTY6	Viruses
UniRef50_A0A6J5KUN3	Viruses
UniRef50_A0A6J5KUQ0	Viruses
UniRef50_A0A6J5KV01	Viruses
UniRef50_A0A6J5KVB7	Viruses
UniRef50_A0A6J5KVP4	Viruses
UniRef50_A0A6J5KVY9	Viruses
UniRef50_A0A6J5KWH6	Viruses
UniRef50_A0A6J5KWP2	Viruses
UniRef50_A0A6J5KWU1	Viruses
UniRef50_A0A6J5KXU9	Viruses
UniRef50_A0A6J5KYB5	Viruses
UniRef50_A0A6J5KYD2	Viruses
UniRef50_A0A6J5KYU5	Viruses
UniRef50_A0A6J5KZ82	Viruses
UniRef50_A0A6J5KZC2	Viruses
UniRef50_A0A6J5KZH4	Viruses
UniRef50_A0A6J5L0A6	Viruses
UniRef50_A0A6J5L0A7	Viruses
UniRef50_A0A6J5L0D2	Viruses
UniRef50_A0A6J5L0R9	Viruses
UniRef50_A0A6J5L0X7	Viruses
UniRef50_A0A6J5L122	Viruses
UniRef50_A0A6J5L1S5	Viruses
UniRef50_A0A6J5L1T3	Viruses
UniRef50_A0A6J5L2B8	Viruses
UniRef50_A0A6J5L2H9	Viruses
UniRef50_A0A6J5L3D1	Viruses
UniRef50_A0A6J5L402	Viruses
UniRef50_A0A6J5L537	Viruses
UniRef50_A0A6J5L552	Viruses
UniRef50_A0A6J5L577	Viruses
UniRef50_A0A6J5L5B7	Viruses
UniRef50_A0A6J5L6G7	Viruses
UniRef50_A0A6J5L6H8	Viruses
UniRef50_A0A6J5L7C4	Viruses
UniRef50_A0A6J5L7F5	Viruses
UniRef50_A0A6J5L8I8	Viruses
UniRef50_A0A6J5L8Z9	Viruses
UniRef50_A0A6J5L916	Viruses
