UP_id	tax_group
UniRef50_A0A150J603	Archaea
UniRef50_A0A150KHF3	Bacteria
UniRef50_A0A150KP10	Bacteria
UniRef50_A0A150MVR1	Bacteria
UniRef50_A0A150MX17	Bacteria
UniRef50_A0A150NG53	Bacteria
UniRef50_A0A150NJJ1	Bacteria
UniRef50_A0A150NJL0	Bacteria
UniRef50_A0A150NLI2	Bacteria
UniRef50_A0A150NLW4	Bacteria
UniRef50_A0A150NP16	Bacteria
UniRef50_A0A150NRS0	Bacteria
UniRef50_A0A150NVM2	Bacteria
UniRef50_A0A150NVV2	Bacteria
UniRef50_A0A150NW45	Bacteria
UniRef50_A0A150NWG1	Bacteria
UniRef50_A0A150NXH2	Bacteria
UniRef50_A0A150RPP0	Bacteria
UniRef50_A0A150S5R0	Bacteria
UniRef50_A0A150U165	Bacteria
UniRef50_A0A150WMD0	Bacteria
UniRef50_A0A150XCD8	Bacteria
UniRef50_A0A150XCI2	Bacteria
UniRef50_A0A150XL30	Bacteria
UniRef50_A0A150XQ02	Bacteria
UniRef50_A0A151BXX3	Bacteria
UniRef50_A0A151C0M6	Bacteria
UniRef50_A0A151DWA4	Archaea
UniRef50_A0A151E217	Archaea
UniRef50_A0A151E2F1	Archaea
UniRef50_A0A151E4R3	Archaea
UniRef50_A0A151E907	Archaea
UniRef50_A0A151EB00	Archaea
UniRef50_A0A151EFN8	Archaea
UniRef50_A0A151EI67	Archaea
UniRef50_A0A151EWZ5	Archaea
UniRef50_A0A151FF20	Bacteria
UniRef50_A0A151FGF9	Bacteria
UniRef50_A0A151FI22	Bacteria
UniRef50_A0A151FI28	Bacteria
UniRef50_A0A151FYY7	Bacteria
UniRef50_A0A151IUV0	Eukaryota
UniRef50_A0A151QJJ1	Bacteria
UniRef50_A0A151S2A8	Eukaryota
UniRef50_A0A151WRA6	Eukaryota
UniRef50_A0A151X7I5	Eukaryota
UniRef50_A0A151ZBZ0	Eukaryota
UniRef50_A0A154C5M0	Bacteria
UniRef50_A0A154NVQ8	Eukaryota
UniRef50_A0A154PEU1	Eukaryota
UniRef50_A0A154PLD9	Eukaryota
UniRef50_A0A154R3C3	Bacteria
UniRef50_A0A154VPA3	Bacteria
UniRef50_A0A154W0H3	Bacteria
UniRef50_A0A154WGB1	Bacteria
UniRef50_A0A157M683	Bacteria
UniRef50_A0A157PTG6	Bacteria
UniRef50_A0A157ZMD7	Bacteria
UniRef50_A0A158A6G1	Bacteria
UniRef50_A0A158BZ33	Bacteria
UniRef50_A0A158DI82	Bacteria
UniRef50_A0A158DMK2	Bacteria
UniRef50_A0A158DMU4	Bacteria
UniRef50_A0A158DXH1	Bacteria
UniRef50_A0A158E3Z3	Bacteria
UniRef50_A0A158EH64	Bacteria
UniRef50_A0A158G2K7	Bacteria
UniRef50_A0A158I2A0	Bacteria
UniRef50_A0A158KLF5	Bacteria
UniRef50_A0A158NAI8	Eukaryota
UniRef50_A0A158NIX0	Eukaryota
UniRef50_A0A158NKY0	Eukaryota
UniRef50_A0A158NY36	Eukaryota
UniRef50_A0A158RXN3	Bacteria
UniRef50_A0A158RYD0	Bacteria
UniRef50_A0A158S067	Bacteria
UniRef50_A0A158S107	Bacteria
UniRef50_A0A158S4B8	Bacteria
UniRef50_A0A158S5K7	Bacteria
UniRef50_A0A158SV64	Bacteria
UniRef50_A0A159B6S6	Viruses
UniRef50_A0A159ZA12	Bacteria
UniRef50_A0A160FXC8	Bacteria
UniRef50_A0A160PBG4	Bacteria
UniRef50_A0A160PDH5	Bacteria
UniRef50_A0A160PF19	Bacteria
UniRef50_A0A160PK31	Bacteria
UniRef50_A0A160PMS3	Bacteria
UniRef50_A0A160T1T5	Bacteria
UniRef50_A0A160T3B6	Bacteria
UniRef50_A0A160T4E7	Bacteria
UniRef50_A0A160T7H5	Bacteria
UniRef50_A0A160T7J3	Bacteria
UniRef50_A0A160T8A7	Bacteria
UniRef50_A0A160T8N4	Bacteria
UniRef50_A0A160TP55	unclassified
UniRef50_A0A160UGR6	Bacteria
UniRef50_A0A161I1Z2	Bacteria
UniRef50_A0A161K5N8	Bacteria
UniRef50_A0A161MBW9	Eukaryota
UniRef50_A0A161TTK7	Bacteria
UniRef50_A0A161UA07	Bacteria
UniRef50_A0A161V1K9	Bacteria
UniRef50_A0A162E1U5	Viruses
UniRef50_A0A162H259	Bacteria
UniRef50_A0A162H2P9	Bacteria
UniRef50_A0A162J5R6	Eukaryota
UniRef50_A0A162J8Z5	Bacteria
UniRef50_A0A162K4Q7	Bacteria
UniRef50_A0A162M1A9	Bacteria
UniRef50_A0A162MRH8	Eukaryota
UniRef50_A0A162NKX7	Bacteria
UniRef50_A0A162Q7R0	Bacteria
UniRef50_A0A162QI12	Bacteria
UniRef50_A0A162TK12	Bacteria
UniRef50_A0A162TW98	Eukaryota
UniRef50_A0A163X0W6	Bacteria
UniRef50_A0A163XFC6	Bacteria
UniRef50_A0A164A2E4	Bacteria
UniRef50_A0A164C7Z5	Bacteria
UniRef50_A0A164ESC9	Eukaryota
UniRef50_A0A164FP21	Eukaryota
UniRef50_A0A164H2X3	Bacteria
UniRef50_A0A164H9U6	Bacteria
UniRef50_A0A164IIJ7	Eukaryota
UniRef50_A0A164JH27	Eukaryota
UniRef50_A0A164LAN9	Eukaryota
UniRef50_A0A164PYJ2	Eukaryota
UniRef50_A0A164Q8V7	Eukaryota
UniRef50_A0A164R9X5	Eukaryota
UniRef50_A0A165EF73	Eukaryota
UniRef50_A0A165JDH8	Bacteria
UniRef50_A0A165NMR4	Bacteria
UniRef50_A0A165PN00	Bacteria
UniRef50_A0A165QEI0	Bacteria
UniRef50_A0A165QEL2	Bacteria
UniRef50_A0A165TJS5	Bacteria
UniRef50_A0A165TMW0	Bacteria
UniRef50_A0A165TS52	Bacteria
UniRef50_A0A165TX61	Bacteria
UniRef50_A0A165U892	Bacteria
UniRef50_A0A165UZR0	Bacteria
UniRef50_A0A165V9B5	Bacteria
UniRef50_A0A165XA21	Bacteria
UniRef50_A0A165XGD0	Bacteria
UniRef50_A0A165YJN3	Bacteria
UniRef50_A0A166ERX9	Bacteria
UniRef50_A0A166H323	Bacteria
UniRef50_A0A166HCH9	Bacteria
UniRef50_A0A166RHU5	Bacteria
UniRef50_A0A166RKV2	Bacteria
UniRef50_A0A166SII5	Bacteria
UniRef50_A0A166UAX3	Bacteria
