UP_id	tax_group
UniRef50_A0A1I2E5S5	Bacteria
UniRef50_A0A1I2EFS6	Bacteria
UniRef50_A0A1I2EWV8	Bacteria
UniRef50_A0A1I2FKF9	Bacteria
UniRef50_A0A1I2FN34	Bacteria
UniRef50_A0A1I2FTW2	Bacteria
UniRef50_A0A1I2G0D5	Bacteria
UniRef50_A0A1I2G2P7	Bacteria
UniRef50_A0A1I2G463	Bacteria
UniRef50_A0A1I2G9S7	Bacteria
UniRef50_A0A1I2GCJ0	Bacteria
UniRef50_A0A1I2GN13	Bacteria
UniRef50_A0A1I2GNE5	Bacteria
UniRef50_A0A1I2GUU0	Bacteria
UniRef50_A0A1I2HGZ0	Bacteria
UniRef50_A0A1I2HU44	Bacteria
UniRef50_A0A1I2I1C5	Bacteria
UniRef50_A0A1I2I5B8	Bacteria
UniRef50_A0A1I2I7V9	Bacteria
UniRef50_A0A1I2IG75	Bacteria
UniRef50_A0A1I2IK37	Bacteria
UniRef50_A0A1I2IN06	Bacteria
UniRef50_A0A1I2JEE7	Bacteria
UniRef50_A0A1I2JNE3	Bacteria
UniRef50_A0A1I2JWJ1	Bacteria
UniRef50_A0A1I2JY04	Bacteria
UniRef50_A0A1I2KJU7	Bacteria
UniRef50_A0A1I2L1B4	Bacteria
UniRef50_A0A1I2M755	Bacteria
UniRef50_A0A1I2MYK3	Bacteria
UniRef50_A0A1I2MYR5	Bacteria
UniRef50_A0A1I2QDD0	Bacteria
UniRef50_A0A1I2T4T3	Bacteria
UniRef50_A0A1I2T995	Bacteria
UniRef50_A0A1I2TU11	Bacteria
UniRef50_A0A1I2TZS9	Bacteria
UniRef50_A0A1I2U0E5	Bacteria
UniRef50_A0A1I2W7X8	Bacteria
UniRef50_A0A1I2XCD9	Bacteria
UniRef50_A0A1I2XRJ0	Bacteria
UniRef50_A0A1I2YLH3	Bacteria
UniRef50_A0A1I2Z402	Bacteria
UniRef50_A0A1I3A6N1	Bacteria
UniRef50_A0A1I3ATA7	Bacteria
UniRef50_A0A1I3BEL9	Bacteria
UniRef50_A0A1I3BJV9	Bacteria
UniRef50_A0A1I3C2N2	Bacteria
UniRef50_A0A1I3CKL7	Bacteria
UniRef50_A0A1I3DNI3	Bacteria
UniRef50_A0A1I3DZR7	Bacteria
UniRef50_A0A1I3E1T3	Bacteria
UniRef50_A0A1I3EC54	Bacteria
UniRef50_A0A1I3ECK7	Bacteria
UniRef50_A0A1I3EFK6	Bacteria
UniRef50_A0A1I3EHK4	Bacteria
UniRef50_A0A1I3EHW2	Bacteria
UniRef50_A0A1I3EPG2	Bacteria
UniRef50_A0A1I3F3L4	Bacteria
UniRef50_A0A1I3F6V5	Bacteria
UniRef50_A0A1I3H6F6	Bacteria
UniRef50_A0A1I3H6P6	Bacteria
UniRef50_A0A1I3H757	Bacteria
UniRef50_A0A1I3HAI1	Bacteria
UniRef50_A0A1I3HAV4	Bacteria
UniRef50_A0A1I3HIH9	Bacteria
UniRef50_A0A1I3JA01	Bacteria
UniRef50_A0A1I3JHY9	Bacteria
UniRef50_A0A1I3JJZ0	Bacteria
UniRef50_A0A1I3KMJ2	Bacteria
UniRef50_A0A1I3KRC5	Bacteria
UniRef50_A0A1I3LDX0	Bacteria
UniRef50_A0A1I3LFX2	Bacteria
UniRef50_A0A1I3LGM8	Bacteria
UniRef50_A0A1I3LJY0	Bacteria
UniRef50_A0A1I3MG60	Bacteria
UniRef50_A0A1I3MXJ0	Bacteria
UniRef50_A0A1I3N1C6	Bacteria
UniRef50_A0A1I3NA35	Bacteria
UniRef50_A0A1I3NUH6	Bacteria
UniRef50_A0A1I3NV72	Bacteria
UniRef50_A0A1I3P861	Bacteria
UniRef50_A0A1I3P9Y4	Bacteria
UniRef50_A0A1I3PKW0	Bacteria
UniRef50_A0A1I3PMQ1	Bacteria
UniRef50_A0A1I3PY03	Bacteria
UniRef50_A0A1I3Q7D5	Bacteria
UniRef50_A0A1I3QB84	Bacteria
UniRef50_A0A1I3RFB6	Bacteria
UniRef50_A0A1I3RSP9	Bacteria
UniRef50_A0A1I3RVL7	Bacteria
UniRef50_A0A1I3RX32	Bacteria
UniRef50_A0A1I3RY03	Bacteria
UniRef50_A0A1I3S6M5	Bacteria
UniRef50_A0A1I3S8J9	Bacteria
UniRef50_A0A1I3SXE6	Bacteria
UniRef50_A0A1I3SYC2	Bacteria
UniRef50_A0A1I3TBI2	Bacteria
UniRef50_A0A1I3TH57	Bacteria
UniRef50_A0A1I3V0A3	Bacteria
UniRef50_A0A1I3V3Z1	Bacteria
UniRef50_A0A1I3W4W1	Bacteria
UniRef50_A0A1I3WD66	Bacteria
UniRef50_A0A1I3WZG3	Bacteria
UniRef50_A0A1I3X3I9	Bacteria
UniRef50_A0A1I3X3R3	Bacteria
UniRef50_A0A1I3X4T3	Bacteria
UniRef50_A0A1I3XW65	Bacteria
UniRef50_A0A1I3YBA1	Bacteria
UniRef50_A0A1I3YI52	Bacteria
UniRef50_A0A1I3YMY2	Bacteria
UniRef50_A0A1I3ZJD8	Bacteria
UniRef50_A0A1I4A9A3	Bacteria
UniRef50_A0A1I4AZ67	Bacteria
UniRef50_A0A1I4B7A4	Bacteria
UniRef50_A0A1I4B9G7	Bacteria
UniRef50_A0A1I4BG10	Bacteria
UniRef50_A0A1I4BGX5	Bacteria
UniRef50_A0A1I4BVT3	Bacteria
UniRef50_A0A1I4C940	Bacteria
UniRef50_A0A1I4CVQ1	Bacteria
UniRef50_A0A1I4CWP3	Bacteria
UniRef50_A0A1I4D771	Bacteria
UniRef50_A0A1I4DBZ2	Bacteria
UniRef50_A0A1I4DHN8	Bacteria
UniRef50_A0A1I4DJK0	Bacteria
UniRef50_A0A1I4E2G7	Bacteria
UniRef50_A0A1I4E7B6	Bacteria
UniRef50_A0A1I4EF13	Bacteria
UniRef50_A0A1I4EZY5	Bacteria
UniRef50_A0A1I4F2E0	Bacteria
UniRef50_A0A1I4FVR0	Bacteria
UniRef50_A0A1I4G4J6	Bacteria
UniRef50_A0A1I4HS97	Bacteria
UniRef50_A0A1I4I6Q9	Bacteria
UniRef50_A0A1I4IKZ7	Bacteria
UniRef50_A0A1I4IV98	Bacteria
UniRef50_A0A1I4JE65	Bacteria
UniRef50_A0A1I4JKS1	Bacteria
UniRef50_A0A1I4JL68	Bacteria
UniRef50_A0A1I4JMJ9	Archaea
UniRef50_A0A1I4KRF1	Bacteria
UniRef50_A0A1I4LRH3	Bacteria
UniRef50_A0A1I4LT87	Bacteria
UniRef50_A0A1I4LTQ8	Bacteria
UniRef50_A0A1I4MB37	Bacteria
UniRef50_A0A1I4MZX8	Bacteria
UniRef50_A0A1I4NQK8	Bacteria
UniRef50_A0A1I4PAU3	Bacteria
UniRef50_A0A1I4PH88	Bacteria
UniRef50_A0A1I4PMN9	Bacteria
UniRef50_A0A1I4PT50	Bacteria
UniRef50_A0A1I4Q6J3	Bacteria
UniRef50_A0A1I4QCJ6	Bacteria
UniRef50_A0A1I4QR75	Bacteria
UniRef50_A0A1I4QUM7	Bacteria
UniRef50_A0A1I4R1I8	Bacteria
UniRef50_A0A1I4R214	Bacteria
UniRef50_A0A1I4R5L9	Bacteria
UniRef50_A0A1I4S3E2	Bacteria
UniRef50_A0A1I4S821	Bacteria
UniRef50_A0A1I4SH53	Bacteria
UniRef50_A0A1I4SK44	Bacteria
UniRef50_A0A1I4SMX0	Bacteria
UniRef50_A0A1I4TKP2	Bacteria
UniRef50_A0A1I4TWN9	Bacteria
UniRef50_A0A1I4TYK9	Bacteria
UniRef50_A0A1I4U1A0	Bacteria
UniRef50_A0A1I4U7Q5	Bacteria
UniRef50_A0A1I4UMX7	Bacteria
UniRef50_A0A1I4UQT9	Bacteria
UniRef50_A0A1I4V2F2	Bacteria
UniRef50_A0A1I4V6L6	Bacteria
UniRef50_A0A1I4V7F6	Bacteria
UniRef50_A0A1I4V9J4	Bacteria
UniRef50_A0A1I4VN18	Bacteria
UniRef50_A0A1I4WF21	Bacteria
UniRef50_A0A1I4WJT5	Bacteria
UniRef50_A0A1I4WPE2	Bacteria
UniRef50_A0A1I4X178	Bacteria
UniRef50_A0A1I4X745	Bacteria
UniRef50_A0A1I4XVS2	Bacteria
UniRef50_A0A1I4YJ87	Bacteria
UniRef50_A0A1I4YQN4	Bacteria
UniRef50_A0A1I5AGR5	Bacteria
UniRef50_A0A1I5AK90	Bacteria
